Store,Description,Telephone,Hours
/store-directory/browhaus/,"Browhaus is a premier brow-grooming and eye care specialist located in 10 cities worldwide, with over 41 outlets serving more than 6 million customers.",68774882,"Monday: 10am - 9pm
Tuesday: 10am - 9pm
Wednesday: 10am - 9pm
Thursday: 10am - 9pm
Friday: 10am - 9pm
Saturday: 10am - 9pm
Sunday: 10am - 9pm
"
/store-directory/burger-king/,"BURGER KING® is the world's second largest fast-food hamburger chain. Go for its WHOPPER® - THE burger to rule them all, or simply double the goodness with BK Doubles Mushroom Swiss. Treat yourself to something awesome today!",6245 5918,"Monday: 8am - 10pm
Tuesday: 8am - 10pm
Wednesday: 8am - 10pm
Thursday: 8am - 10pm
Friday: 8am - 10pm
Saturday: 8am - 10pm
Sunday: 8am - 10pm
"
/store-directory/canton-paradise/,"Relish and experience the best of Hong Kong amidst a truly inimitable setting. Immerse in our pursuit of fine Cantonese cuisine with an extensive all-day menu offering from roast specialties, dim sum to delectable congee, noodles and wok-fried classics, fully captured in the essence of H.K cuisine.",6379 9411,"Monday: 11am - 10pm
Tuesday: 11am - 10pm
Wednesday: 11am - 10pm
Thursday: 11am - 10pm
Friday: 11am - 10pm
Saturday: 10:30am - 10pm
Sunday: 10:30am - 10pm
"
/store-directory/cars-international/,"CARS International is a regional powerhouse in the car beauty care industry, with operations in Malaysia, Singapore, Indonesia, Taiwan, Hong Kong and China.

Established since 1973, our longevity is proof of our commitment to our customers, our ethical business philosophy and practices.

CARS International is well-known for its ability to deliver good-value and privilege service packages for descending car owners, providing their cars with long-term beauty care.

CARS International is a Super Brand, is ISO 9001:2000 certified and has won many local regional corporate awards.",6440 2918,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/cedele/,"Creatively combined to cater to every whim and fancy, our Bakery Kitchens flavourfully fuse the convenience of counter service with relaxing restaurant dine-in options. Cooked-to-order straight from our dedicated in-house kitchens, our compact menu of choice whole-day breakfast, lunch and dinner dishes will surely titillate your taste buds. Or simply grab a fresh made snack from our bakery takeaway section; best for the busy Singapore bee!",6348 1535,"Monday: 9am - 8:30pm
Tuesday: 9am - 8:30pm
Wednesday: 9am - 8:30pm
Thursday: 9am - 8:30pm
Friday: 9am - 8:30pm
Saturday: 9am - 8:30pm
Sunday: 9am - 8:30pm
"
/store-directory/cfoot/,"CFOOT focuses on professional correction insoles specially crafted by their Orthopedic using self-developed combined with foot biology assessment sensor-medic foot pressure and 3D foot scanner which quickly and accurately determines the foot condition and establish a correct insole prescription.

CFOOT correction insoles provides an average dispersion of foot pressure which reduces and adjusts the foot problem to enhance the whole body posture; which then helps reduce spine degeneration and ageing problem.",62841428,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9pm
Saturday: 10:30am - 9pm
Sunday: 10:30am - 9pm
"
/store-directory/chalk-farm/,"Named after a stop on London's Northern Tube Line, Bryan and Dawn Koh opened Chalk Farm's first outlet in Paragon in June 2013 and its second one in Parkway Parade in December 2014. At these shops, which some have dubbed ""cake salons"", customers may enjoy purchased slices with a hot beverage, be it coffee, tea or dark hot chocolate. The company enjoys a reputation for its carrot whiskey sultana cake, red velvet cake and salted macadamia cupcakes, as well as seasonal menu, allowing customers to indulge in a chocolate-chestnut log during Christmas, orange cake and rainbow-coloured kueh lapis around Lunar New Year, and a glorious nut-studded pumpkin bundt around Halloween.",6348 2032,"Monday: 11am - 8pm
Tuesday: 11am - 8pm
Wednesday: 11am - 8pm
Thursday: 11am - 8pm
Friday: 11am - 8pm
Saturday: 11am - 8pm
Sunday: 11am - 8pm
"
/store-directory/challenger/,"Challenger is a dynamic regional IT retailer known for its strong brand name and attractive ValueClub privileges.  Challenger opened its first retail store in 1982 and now counts major global brands as its strategic partners.  Since its founding, Challenger has expanded to over 40 stores consisting of Superstores, Mini stores, Valore concept stores and Musica stores across Singapore and Malaysia.",6339 9008,"Monday: 11am - 9:30pm
Tuesday: 11am - 9:30pm
Wednesday: 11am - 9:30pm
Thursday: 11am - 9:30pm
Friday: 11am - 9:30pm
Saturday: 11am - 9:30pm
Sunday: 11am - 9:30pm
"
/store-directory/chanel/,"CHANEL showcases its fragrance and beauty creations in a luxurious and intimate space inspired by Mademoiselle Chanel's universe. Explore exclusive collections, personalised consultations and discover the creative spirit of CHANEL through its exclusive activations at Parkway Parade boutique.",6244 5988,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/chateraise/,"Chateraise has been a hugely successful patisserie in Japan since 1954. Chateraise is unique in featuring a wide variety of cakes, pastries, sweets and Japanese drinks.

Treats from Chateraise are made with fresh ingredients that are directly sourced from pastures and farms. Their desserts are made in Chateraise’s own factory and delivered to the outlets all across the world. The patisserie collaborates with Japanese farmers in order to procure the finest and healthiest ingredients for their desserts

With its signature faint milk flavour and smooth texture, Chateraise’s baked goods are bound to get you coming back for more!",62437130,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/chomel/,"Chomel is a leading retailer of Fashion Jewellery & Accessories in Singapore. We offer contemporary quality jewellery & accessories at affordable prices to fashionable women of all ages. Our well-edited collections come in a wide collection of Necklaces, Earrings, Bracelets & Brooches, which can be easily coordinated to mix and match for everyday wear or any occasion.",6242 0069,"Monday: 10:30am - 9pm
Tuesday: 10:30am - 9pm
Wednesday: 10:30am - 9pm
Thursday: 10:30am - 9pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9pm
"
/store-directory/clarins/,"Clarins was founded in Paris, France in 1954 by Jacques Courtin-Clarins

Clarins is a prestigious French beauty brand known for its plant-powered innovations and unique skincare application techniques. The brand was born with the desire to advance beauty by making it more real and natural. The science of nature inspires the brand. It uses over 250 natural plant extracts in its formulas, with each ingredient carefully delivered in an optimal formula to reveal every woman's beauty. Clarins has made bold innovation its signature with pioneering formulas that are continually being re-invented and best-sellers that stand the test of time.

Clarins is also committed to respecting nature and protecting the biodiversity of the earth. Each ingredient sourced with utmost care for the environment; Clarins supports local communities and purchases raw materials by fair trade principles. Health, education, and biodiversity conservation are the top three areas targeted by Clarins' long-term initiatives to benefit people and the planet.",6348 8696,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/clarks/,"Clarks story began almost 200 years ago when Cyrus and James Clark made a slipper from sheepskin off-cuts. At the time it was ground-breaking; a combination of invention and craftsmanship that has remained at the heart of what we do. And whilst now, as always, every pair of our shoes begins with a last carved by hand from a single block of hornbeam, advanced construction techniques, technologies and contemporary materials help us deliver perfection tailor-made for the modern world.",NIL,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10:30am - 9:30pm
Sunday: 10:30am - 9:30pm
"
/store-directory/clippers-barber/,"Clippers Barber is your affordable old-school barbershop with a modern revamp. It is a place where our customers of all ages can sit back, relax, enjoy a professional grooming service at the hands of our expert barbers, who pride themselves for their superior fades & clean cuts. We aim to leave you with a fresh new look and a smile on your face.",NIL,"Monday: 10:30am - 9:30pm
Tuesday: 10:30am - 9:30pm
Wednesday: 10:30am - 9:30pm
Thursday: 10:30am - 9:30pm
Friday: 10:30am - 9:30pm
Saturday: 10am - 9pm
Sunday: 10am - 9pm
"
/store-directory/cotton-on/,"Cotton On is an Australian fashion and lifestyle brand founded in 1991. With stores in 22 countries, it’s bringing the laid-back Aussie lifestyle to the world. Cotton On’s style is effortless, lived-in and accessible to everyone. Inspired by the everyday guy and girl with an eye for the latest trends and a drive for self-expression. From day one, Cotton On has always been about people and community, and doing good along the way.

Cotton On brands also include Cotton On Body and Rubi.",NIL,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/cotton-on-kids/,"We deliver the latest and greatest for our kids because the future looks more than bright with them in it. They are the magic makers and the kindness warriors, the animal lovers and the planet protectors. They are our future. We believe that shopping for our kids should be easy and ultra-affordable, we work hard to deliver the product they need to absolutely run the world.",63441406,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/crocs/,"A world leader in innovative casual footwear for men, women and children. Crocs offers several distinct shoe collections with more than 300 footwear styles, from the iconic clog to new sneakers, sandals, boots and heels.. All Crocs™ shoes feature Croslite™ material, a proprietary, revolutionary technology that gives each pair of shoes the soft, comfortable, lightweight and odor-resistant qualities that Crocs fans know and love. Since its inception in 2002, Crocs has sold more than 200 million pairs of shoes in more than 90 countries around the world.",6440 7647,"Monday: 11am - 10pm
Tuesday: 11am - 10pm
Wednesday: 11am - 10pm
Thursday: 11am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/cs-fresh/,"CS Fresh is an upscale supermarket expert delivering exceptional fresh food experiences for passionate foodies! Just like all passionate foodies, we at CS Fresh know the magic of fresh. And it is this magic that keeps us fired up to scout the world for the freshest and most exceptional food experiences foodies are passionate about, presented in a best-in-class sensorial retail experience.",6344 9011,"Monday: 8am - 10:30pm
Tuesday: 8am - 10:30pm
Wednesday: 8am - 10:30pm
Thursday: 8am - 10:30pm
Friday: 8am - 10:30pm
Saturday: 8am - 10:30pm
Sunday: 8am - 10:30pm
"
/store-directory/dabao-medical-hall/,A Chinese Traditional Medical Hall,6348 0323,"Monday: 11am - 8:30pm
Tuesday: 11am - 8:30pm
Wednesday: 11am - 8:30pm
Thursday: 11am - 8:30pm
Friday: 11am - 8:30pm
Saturday: 11am - 8:30pm
Sunday: 11am - 8:30pm
"
/store-directory/dah-kai-medical-and-dept-store/,"We provide chinese medical health product, birdnest, ginseng, abalone, hamper etc. We also have chinese physician providing acupuncture and medication.",6348 1495,"Monday: 11am - 8pm
Tuesday: 11am - 8pm
Wednesday: 11am - 8pm
Thursday: 11am - 8pm
Friday: 11am - 8pm
Saturday: 11am - 8pm
Sunday: 11am - 8pm
"
/store-directory/daiso/,"DAISO is a mega store established in Japan in 1977. We are Japan’s no.1 living ware supplier, providing the most variety and value for all our customer’s needs. Definitely DAISO, we continue to focus on Quality, Variety & Uniqueness. With our rich lineup of items & innovative ideas, we continuously bring fun and surprises to you at our stores.",6348 9523,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
/store-directory/dal.komm-coffee-coffee-bar,"dal.komm COFFEE is a trendy lifestyle entertainment coffee chain founded in South Korea specialising in quality Arabica bean brews made with a proprietary selection of coffee blends Natural Light and Signature; each with its own characteristic aroma and flavour, as well as enticing and wholesome specialty beverages concocted with fresh fruits and ingredients.

The café chain’s international popularity is also boosted by its appearance in several hit Korean TV dramas such as Hi Bye Ma Ma, Goblin and Descendants of the Sun.",9008 4886,"Monday: 10am - 10pm
Tuesday: 10am - 10pm
Wednesday: 10am - 10pm
Thursday: 10am - 10pm
Friday: 10am - 10pm
Saturday: 10am - 10pm
Sunday: 10am - 10pm
"
